No	発売日	タイトル	メーカー	価格
97	1992/4/28	拳闘王 ワールドチャンピオン	ソフエル	8000
98	1992/5/1	バトルブレイズ	サミー	8700
99	1992/5/23	甲竜伝説ヴィルガスト　消えた少女	バンダイ	9000
100	1992/5/29	マジックソード	カプコン	8500
101	1992/5/29	斬Ⅱスピリッツ	ウルフ・チーム	9800
102	1992/6/10	ストリートファイターⅡ	カプコン	9800
103	1992/6/19	スーパーダンクショット	HAL研究所	8600
104	1992/6/19	スーパー将棋	アイマックス	8800
105	1992/6/26	キャメルトライ	タイトー	8500
106	1992/6/26	横山光輝 三国志	エンジェル	9500
107	1992/6/26	アストラルバウト	キングレコード	9030
108	1992/6/26	甲子園２	ケイ・アミューズメントリース	8900
109	1992/7/3	プリンス オブ ペルシャ	日本コンピュータシステム	8800
110	1992/7/3	スーパーオフロード	パック・イン・ビデオ	6900
111	1992/7/3	Ｌｉｇｈｔ Ｆａｎｔａｓｙ	トンキンハウス	8900
112	1992/7/3	パロディウスだ！　神話からお笑いへ	コナミ	8500
113	1992/7/3	スーパーボウリング	アテナ	8300
114	1992/7/3	ＰＧＡツアーゴルフ	イマジニア	8500
115	1992/7/10	ゆうゆのクイズでＧＯ！ＧＯ！	タイトー	8500
116	1992/7/10	北斗の拳５ 天魔流星伝 哀・絶章	東映動画	8900
117	1992/7/14	マリオペイント	任天堂	9800
118	1992/7/17	ダイナウォーズ　恐竜王国への大冒険	アイレム	8800
119	1992/7/17	ＨＯＯＫ	エピック・ソニーレコード	8500
120	1992/7/17	鈴木亜久里のＦ１スーパードライビング	ロジーク	8800
121	1992/7/17	キャプテン翼Ⅲ　皇帝の挑戦	テクモ	8900
122	1992/7/17	パチンコウォーズ	ココナッツジャパンエンターテイメント	9500
123	1992/7/23	サンドラの大冒険 ワルキューレとの出逢い	ナムコ	8300
124	1992/7/24	Ｔ．Ｍ．Ｎ．Ｔ． タートルズインタイム	コナミ	8500
125	1992/7/24	サイバリオン	東芝EMI	8600
126	1992/7/24	スーパーエフワンサーカス (０１)	日本物産	8800
127	1992/7/24	ブレイゾン	アトラス	8500
128	1992/7/24	アースライト	ハドソン	8500
129	1992/7/24	ウルティメイトフットボール	サミー	8700
130	1992/7/28	３×３ＥＹＥＳ(サザンアイズ) 聖魔降臨伝	ユタカ	9500
131	1992/7/31	機甲警察メタルジャック	アトラス	8800
132	1992/7/31	飛龍の拳Sゴールデンファイター	カルチャーブレーン	9700
133	1992/7/31	キング・オブ・ザ・モンスターズ	タカラ	8800
134	1992/7/31	炎の闘球児ドッジ弾平	サンソフト	8500
135	1992/8/5	スーパー大航海時代	光栄	11800
136	1992/8/7	スピンディジーワールド	アスキー	8800
137	1992/8/7	スーパーパン	カプコン	7500
